,UnixTime,Tweet,Polarity
0,1576843794425.0,RT @BingolArafat: Icisleri E Bakanimiz ve Vakifbank yonetim kurulu baskanimiz kiymetli buyugumuz Sn.Abdulkadir Aksu ve Dostlarla birlikte g...,1.0
2,1576843528998.0,Troll patlamasi var. Acaba Vakifbank operasyonu finanse edildikten sonra  olmasi da mi tesaduf,0.0
4,1576843505063.0,"@veyselamcalar @VakifBank Merhaba, talebinizi detayli bir sekilde ozel mesaj uzerinden bizimle paylasmaniz durumund...",1.0
5,1576843485538.0,"@veyselamcalar @VakifBank Merhaba, size yardimci olabilmemiz icin cep telefonu numaranizi bizimle paylasmanizi rica ederiz.",1.0
15,1576842642283.0,@VakifBank Hayatimda sizin kadar kotu bir banka gormedim valla billa ayip ya,0.0
21,1576840350930.0,"RT @dackard1: Eco satisi devam ediyor. 
5k ve uzeri alimlarda  talep olursa hafta sonu en yuksek bastigim kuponu da paylasiyorum :) https:/...",1.0
42,1576838931487.0,"@mahmut_kocpinar @VakifBank Merhaba, kredi ve kredi karti yapilandirma islemleri subelerimiz tarafindan degerlendir...",1.0
46,1576838859883.0,"Yarismamiz basliyor!
VakifBank Kultur Yayinlarinin essiz eserlerinden birini kazanmak ister misiniz?
Bu paylasimi...",1.0
50,1576837736710.0,RT @gktrk999: VakifBank 13-15 Aralik tarihleri arasinda duzenledigi Hack to the Future Hackathonunda Noname ekibi olarak gelistirdigimiz r...,1.0
51,1576837693385.0,RT @gohandbyhand: ITU Vakfinin isin icine girmesi bende en basindan beri soru isaretleri olusturdu. Tam anlayamadim. Su anda hersey net. S...,0.0
52,1576837548448.0,"RT @alicemuzikali: Alicein masalsi seruveni Ocak ve Subat ayinda da devam ediyor! [?] 

Biletler#AliceMuzi...",1.0
53,1576837487317.0,RT @DogaMagdurlar: Taslar yavas yavas yerine oturuyor. Sanirim bu ustu kapali bir kayyum atama. Neden ustu kapali? Cunku altinda batan bir...,0.0
54,1576837420797.0,@hdo59828220 Devamizliyoruz gun sonunu... vakifbank a her yerden giydiriyorum,1.0
55,1576837284103.0,Hic suphesiz hayatimda aldigim en guzel hediye tum oyunculardan imzali VakifBank formasiydi,1.0
57,1576836201375.0,Gariban ITU vakfinin bu isi yuklenecek ne parasi ne de imkani var. O sadece vakif banki perdeliyor.,1.0
58,1576836176580.0,"Devlet kurumlarinda bir kisiye birden fazla gelir getirici is verilemez!
Program yaptiracak, reklamda oynatacak ada...",0.0
59,1576835812618.0,Bu 48 saatlik surecte bizleri agirlayan VakifBank ailesine ve bizleri destekleyen mentorlerimize tesekkur ederiz.,1.0
60,1576835812036.0,VakifBank 13-15 Aralik tarihleri arasinda duzenledigi Hack to the Future Hackathonunda Noname ekibi olarak gelisti...,1.0
61,1576834356632.0,Taslar yavas yavas yerine oturuyor. Sanirim bu ustu kapali bir kayyum atama. Neden ustu kapali? Cunku altinda batan...,0.0
62,1576834280284.0,"Lutfen biri beni #vakifbank cetesinin elinden kurtarsin. Elime zorla kredi karti verdiler, iptal ettirdim. Tam 7 ke...",0.0
63,1576834147824.0,"Eco satisi devam ediyor. 
5k ve uzeri alimlarda  talep olursa hafta sonu en yuksek bastigim kuponu da paylasiyorum...",0.0
64,1576833869539.0,@VakifBank @VakifBankSK Ekstremi uzatsaniza param yok ogrenciyim aciyin bana ya soz bida futursuzca harcamiycam :(,0.0
65,1576833727503.0,"@VakifBank Merhabalar. Tez calismam kapsaminda online bireysel yatirimci anketi uygulamaktayim. Rica etsem, Ankara...",1.0
67,1576832813771.0,"@ZiraatDestek @ziraatbankasi 
Merhaba, daha once de DEFALARCA ulasmaya calistim size. Atmniz 4 Aralikta Vakifbank...",1.0
68,1576832496652.0,"RT @Traderalone: Bu vakifbank madem #gusgr daki malini satacak niye 
2,8 
2,7
2,6
2,5 den mal vermezde

2,40-2,42 arasinda mal verdim diye...",1.0
69,1576766318368.0,@VakifBank Kredi cekimimde bana yapilan ek paketler icin hakem heyetine basvuru da bulundum ve karar lehime cikti....,1.0
74,1576659391018.0,Vakifbank ismini degistirin BERA BANK.,1.0
75,1576659380788.0,RT @BVelileri: Su #dogakoleji kredisine hizlica bir onay verir misiniz? @DenizBank @VakifBank @ziraatbankasi #hicbiryeregitmiyoruzokulumuzu...,0.0
82,1576659072659.0,"@arabexborsa Koymak zor.. Vakifbank Gr alis/satisa 1,5-2 TL az veya fazlasina satiyor",0.0
93,1576658179349.0,"Bu yanbasan, yimpas degil mi ?",0.0
111,1576657520450.0,Vakifbank Gumushane Subesinde 13 yildir gorev yapan ve son olarak Ticari Krediler Servisinde mudur yardimcisi olara...,1.0
116,1576657356978.0,dun cektigim.kredimi mobil bankaciliktan erken kapattim 10 dk iceresinde iade edilecek sigorta primim hesabima yatt...,0.0
118,1576657328123.0,@turgayyildiz965 Vakifbank renklerini de giyinmeniz cok manidar olmus :),1.0
123,1576656992395.0,RT @ForeksTurkey: Bera Holding: Grup sirketlerimizden Kombassan A.S. ve Adacal A.S. Vakifbank ile 1 yili odemesiz 5 yila kadar vadeli topla...,1.0
124,1576656730021.0,MAC SONUCU | Lokomotiv Kaliningrad Region VakifBank 2-3 | VakifBank deplasmanda galip,1.0
125,1576486525502.0,@VakifBankDestek @VakifBank Neden mail yolu ile yaptigim degisiklik olmuyor ? Orada da birsuru guvenlik sorusu soruyorsun.,1.0
126,1576486393604.0,@VakifBankDestek @VakifBank Oylesine ''user friendly'' olmayan sistem kurmussunuz ki isleme devam etme sansi 2 etap s...,0.0
127,1576486345198.0,@VakifBankDestek @VakifBank Allah belasi Vakifbank sizin yuzunden 1 saattir hastane de bekliyorum yarim saat telefo...,1.0
128,1576486274509.0,@VakifBank Allah belasi Vakifbank sizin yuzunden 1 saattir hastane de bekliyorum yarim saat telefon da bekletiyorsunuz Allahin cezalari,1.0
129,1576486263340.0,"VakifBank, Lokomotiv Kaliningrad Regiona konuk olacak",1.0
130,1576486007100.0,@VakifBank @VakifBankSK VAMPIR Vakifbank.. lutfen kan emiciligi birakin.. borcumu odemek istiyorum..,1.0
131,1576485963469.0,#YilinOlayi yil olmus 2020 @VakifBank tan hala EFT cikisi yapilamamaktadir!!!,0.0
132,1576485876340.0,"Nalet olsun sana @TEB verdigin kredi kartini elime bile ylastiramadin 1 ay oldu,ortalikta buyuk  bankayim diye dola...",0.0
133,1576485699582.0,@VakifBank @VakifBankSK Tahmini 16 dk denilen bekleme suresi 2 saat gecmesine ragmen bir turlu gelmiyor. Musteri te...,1.0
134,1576485551503.0,Bu @VakifBank pismanlik arkadas bi musteri temsilcisine bile 17 dk diyo ne havale nede EFT zamaninda geciyor sigara...,0.0
135,1576485384539.0,"@uyanfurkan1 @kuryenet @KuryenetDestek @VakifBank Merhaba, size yardimci olabilmemiz icin T.C. kimlik numaraniz ile...",1.0
136,1576485320056.0,@VakifBank ya 16 dakika beklemek nedir. Sizin musteri hizmetlerinde musteri memnuniyeti hassasiyeti yok mu.,0.0
137,1576484836914.0,@grandpasha @VakifBank Adres guncelleme veya adres ekleme islemlerinizi Internet Bankaciligi uzerinden Iletisim bil...,1.0
138,1576484827588.0,"@grandpasha @VakifBank Merhaba, musterilerimize daha iyi hizmet vermek ve is birligimizin uzun yillar devam etmesi...",1.0
139,1576484740816.0,Vakifbank icin ne dusuyorsunuz? @kahraman_harun #vakbn,1.0
140,1576484592424.0,"1 bucuk saat once mobil subenizden EFT yaptim hala karsiya  gitmedi 
@VakifBank",1.0
141,1576484416114.0,@barisyarkadas Merak etmeyin bunuda vakifbank alir,1.0
142,1576484364475.0,gunaydin sanli vakifbank taraftari!,1.0
143,1576484104239.0,"@certelebru05 @VakifBank Merhaba, talebinizi detayli bir sekilde ozel mesaj uzerinden bizimle paylasmaniz durumunda...",1.0
144,1576484025280.0,Baba sal parayi ya. Iki kurus EFT yapiyoruz saatlerce para gelecek diye bekle dur parayi. Sal sunu agaaaa. @VakifBank @VakifBankDestek,0.0
145,1576483987535.0,@VakifBank Torpillilere batik kredi vereceginize santral sistemini yenileyin ve santrale daha fazla eleman koyun. Akilli olun akilli.,0.0
146,1576483924017.0,"@Slaweally @VakifBank @TurkTelekom Merhaba, basvurunuz hakkinda inceleme yapabilmemiz icin T.C. Kimlik numaraniz il...",1.0
147,1576483893088.0,"@VakifBank bespara etmezsiniz.Adres degisikligimi mailden kabul etmedin, telefonda 15 dakika beklettin ve acmadin....",1.0
148,1576483832143.0,"@Chn2321 @VakifBank @VakifBankSK Merhaba, basvurunuz hakkinda inceleme yapabilmemiz icin T.C. Kimlik numaraniz ile...",1.0
149,1576483754780.0,"@hkn_aydgn16 @VakifBank @asu0661 Merhaba, katildiginiz kampanya bilgilerinizi ozel mesaj uzerinden bizimle paylasmanizi rica ederiz.",1.0
150,1576483639331.0,"@_muratozmen_ @VakifBank Merhaba, basvurunuz hakkinda inceleme yapabilmemiz icin T.C. Kimlik numaraniz ile bilgilen...",1.0
151,1576483610899.0,"@muratercin58 @VakifBank Merhaba, talebinizi detayli bir sekilde ozel mesaj uzerinden bizimle paylasmaniz durumunda...",1.0
152,1576483171683.0,"RT @Kayserito: ''Kayseri Is Dunyasi Bulusmasinin ikinci kisminda, Gelir Idaresi Baskani ve  @ziraatbankasi @halkbank @vakifbank  Genel Mudur...",1.0
153,1576248565122.0,@VakifBank sizin yuzunuzden bugun elk kesildi. Ve ben 2 cocuk babasiyim sizede beni cocuklarimin yaninda zor duruma...,0.0
154,1576248541425.0,@VakifBank takip tahsilat adi altinda aldiginiz paralar yasal degildir. Bu durumu hem cimere hemde yasal yollara ba...,0.0
155,1576248303463.0,"BtcTurk | PROda artik Akbank, Denizbank, Fibabanka, Vakifbank ve Ziraat Bankasi ile 7/24 havale ve para yatirma is...",1.0
156,1576248031981.0,RT @HaberRotaniz: Filede derbi zamani: Eczacibasi - VakifBank,1.0
159,1576247462147.0,"inleyen, anlayan, yapan zeka Vibiyle tanismak icin VakifBank Mobil Bankacilik uygulamasini indirebilirsiniz....",1.0
167,1576246659145.0,Oi trapezes tes Tourkias sta kheria enos: O Erntogan <<ephage>> kai te Vakifbank,1.0
175,1576245926648.0,Vakifbanktan Vakifpay Uygulamasi Geldi #banka #haber #ekonomi #cuma #gundem #vakifbank,1.0
178,1576245281159.0,Su android uygulamanizi duzeltin bi zahmet internet bankaciligina giris yapamiyorum !!!!!!!!!!! @VakifBank,0.0
179,1576244837153.0,"@hakan_radar Selam Vakifbank tan islem yapiyorum,6.99 dan emir verdim ama bir turlu islem gerceslesmedi neden olur?",1.0
180,1576244374716.0,"RT @Usyinn: @ektim_bictim Sozumuz senettir @VakifBank Bakin sayin cumhurbaskanimiz emekliligi hakettigimizi soyluyor.

Arkadasin emekliligi...",1.0
182,1576222482119.0,RT @BVelileri: #dogakoleji #dogakolejinesahipcik,1.0
183,1576222256672.0,Istinye universitesi can holding Bilgi Universitesi Vakifbank Suzer holding Denizbank  Berat albayrak ... baska almayan kaldi mi #dogakoleji,1.0
185,1576161340248.0,"RT @li_19gndgn07: Devletin Bankasi #VakifBank oyle yada boyle devletin 

#Isbankasi nida devlete devretmenin zamani geldi dimi",1.0
186,1576161279276.0,"Soru  30 Bin TL nerede
Cevap 

Fotografi burada. Artik benden odeme beklemeyin tamam mi @VakifBank",0.0
187,1576161203527.0,"RT @tebdilikiyafeti: #dogakoleji Kisaca fiyat,borclar vs hepsinde anlasildi sadece banka kredisi onaylaninca protokol imzalancak ve duyurul...",1.0
196,1576158258942.0,"RT @Trkeci53271682: Tahminimce...iiihh, bence...ihhhh!!! Bastan sona YALAN! Su konusmada bir tane kesin bilgi var diyen beni bulsun #dogak...",0.0
198,1576158229800.0,@kahraman_harun  Vakifbank hisessi nisan veya mayis  Ayina ne Kadar Ne Olur ?,1.0
199,1576158138015.0,"RT @ahval_en: Turkish governments Vakifbank takeover raises alarm for other banks 

Ahval || Zulfikar Dogan",1.0
212,1576156235186.0,Im at Vakifbank - @vakifbank in Ayvalik,1.0
213,1576156182142.0,"@Krad30073809 @TebernKireci1 Vakifbank 1,25 iste . Yillik 15 eder.
Akbank 19,60 Dedigimi onayliyorsunuz. Su trol vs...",0.0
215,1576155921988.0,"Bir cayi bir de @VakifBank i, hep ve cok.",0.0
216,1576155191280.0,@VakifBank INGBANK musteri kisisel verilerini,1.0
218,1576151236433.0,@BagdatogluSelma Talebiniz degerlendirmeye alinmistir. Degerli gorusunuzu bizimle paylastiginiz icin tesekkur ederi...,1.0
219,1576151117295.0,"Merkez Bankasi, faiz dusurme kararindan sonra piyasada canlanma olmasi icin bankalarin bunu dikkate alip isleme gec...",1.0
222,1576150478291.0,"RT @mind_useless: Firsatci okullar ogrencilerimizi, ogretmenlerimi alip goturuyor ! #dogakoleji ni gercekten almayi dusunen biri varsa bun...",1.0
223,1576150339797.0,"@79_patriot Merhaba, gecikme tutarlari hakkinda odeme yapabilmek ve detayli bilgi alabilmek icin size en yakin Vaki...",1.0
225,1576150166333.0,"#dogakoleji 
#dogakolejinesahipcik",1.0
227,1576143009507.0,@VakifBank iyi gunler 6635 nolu numaraya mesaj yoluyla 2500 tl yakit alimina hediye puan kampanyasina katildim 2500...,1.0
230,1576142544517.0,"#vakifbank bana 1,02 tl. Icin bana yasal islem baslatacakmis. Trilyonluk borclara ne baslatiyonuz acaba?! Kafanizmi...",0.0
239,1576141910731.0,"simdi,
son 1 yildir aksatarak,
son 3 aydir da odemedigimden dolayi
#vakifbank
kanuni takip baslatmis.

8500 prim gu...",1.0
240,1576141849375.0,@Borsatek @Enparacom @qnbfinansbank @isbankasi @GarantiBBVA @ziraatbankasi @Halkbank @bbcturkce @VakifBank...,1.0
241,1576141731118.0,"@Borsatek @Enparacom 
@qnbfinansbank
@isbankasi 
@GarantiBBVA 
@ziraatbankasi 
@Halkbank 
@bbcturkce 
@VakifBank...",1.0
242,1576141578248.0,RT @patronlar: Eski bakani Vakifbank adiyla fena dolandirdilar! Polis susu vererek arayan dolandiricilar bankadaki altinlarini alip kayipla...,1.0
246,1576139400192.0,"IS YATIRIMDAN ''AL'' ONERISI ILE

%57 YUKSELIS BEKLENEN HISSE SENEDI%47 YUKSELIS BEKLENEN...",1.0
247,1576137489249.0,"RT @alicemuzikali: 23. Yapi Kredi Afife Tiyatro Odullerinde Haldun Dormen Ozel Odulu bu yil Alice Muzikaline! [?] 

#AliceMuzikali #AfifeT...",1.0
248,1576137484061.0,"RT @alicemuzikali: 23. Yapi Kredi Afife Tiyatro Odullerinde uc dalda aday olduk  Beyhan Murphy, Gamze Kus ve Cem Yilmazere basarilar dil...",1.0
249,1576137460592.0,RT @SrnySrkyResmi: Yeni sezon surprizlerle beraber basliyor....,1.0
250,1576136484275.0,"Telefonum durup durup vakifbank hesabima giriyor, orada para olmadigini kendisine anlatmam lazim:)",0.0
251,1576136462990.0,@gdusgor @DikenComTr Obur dunyada vakifbank subesi var mi?,0.0
252,1576136411635.0,Eski bakani Vakifbank adiyla fena dolandirdilar! Polis susu vererek arayan dolandiricilar bankadaki altinlarini ali...,1.0
254,1576136105531.0,"#Ergosigorta
#Akkomsigorta
#Bereketsigorta
#Sirussigorta
#Bereketemeklilik 
#ITSsigorta
#Gulfsigorta
#Albaraka...",1.0
255,1576135741846.0,"Vakifbank tan 127 TL kart aidati geldi 
neye ugradigimi sasirdim .. aslinda sasirmamali miydim?  
@VakifBank",0.0
256,1576135260327.0,0.05 TL icin yasal islem mi? Sakiz versem olur mu?? @VakifBank,0.0
257,1576134805788.0,"RT @srkninci: Ulkeye kimler bakanlik yapmis ya...

Bunlar birde, biz okumus insanlariz egosuyla dolasiyorlar ortalarda.",1.0
259,1576134619620.0,"Asla talebim olmayan Halden anlayan paket diye bir kesinti var 315 TL, mobil onayda gozden kacmis bir islem iptal e...",0.0
260,1576134050755.0,"Ulkeye kimler bakanlik yapmis ya...

Bunlar birde, biz okumus insanlariz egosuyla dolasiyorlar ortalarda.",1.0
261,1576133942968.0,RT @patronlar: Eski bakani Vakifbank adiyla fena dolandirdilar! Eski bakani polis susu vererek arayan dolandiricilar bankadaki altinlarini...,1.0
262,1576133832913.0,Eski bakani Vakifbank adiyla fena dolandirdilar! Eski bakani polis susu vererek arayan dolandiricilar bankadaki alt...,1.0
263,1576133788749.0,HERKESIN YAVUZ BEY GIBI DIKKATLI OLMASI LAZIM,1.0
265,1576133396674.0,Dilinizden utaniyor musunuz? Neden Turkce konusmuyorsunuz? Yoksa Ingilizlere mi satildiniz!? @VakifBankDestek...,0.0
266,1576131725650.0,"@mcansabancali Merhaba, size en yakin VakifBank ATM ve sube bilgilerini internet sayfamizdan (...",1.0
267,1576131612738.0,@firatcinar @mansuryavas06 @ziraatbankasi @Halkbank @VakifBank  bu devlet bankalarinin utanci olarak tarihe gececek ve kimse unutmayacak.!,0.0
269,1576130956714.0,"@tebdilikiyafeti @VakifBank Ulen bu kadar geveleyerek konusamama, dunyadan haber olmadan genel mudurluk iyi vallahi...",1.0
272,1576073044240.0,@KARAOGLAN11111 slm vakifbank ile ilgili yorumunuzu alabilir miyim,1.0
274,1576072317299.0,Im at VakifBank - @vakifbank in Mersin,1.0
275,1576072091471.0,@chemedya THY ziraat bankasi halkbank vakifbank devlet kalkinma fonuna bagliydi degil mi meger trabzonspor kalkinma...,1.0
276,1576072064982.0,"#SONDAKIKA
455 bin #Turkun kart bilgilerinin calinmasi hakkinda aciklama!
#GUVENDEMIYIZ
@Bkmonline @BKMExpress...",0.0
277,1576072048217.0,Cok net soyluyorum. Vakifbank rezaleti 17 yillik AKP Iktidarinin en onemli 10 skandalindan biridir. Tam bir hukuksu...,0.0
278,1576072008536.0,"Aciklama KAPa yapildi! 
Vakifbanktaki hisse devri tamamlandi!",0.0
279,1576070977475.0,@VakifBankDestek @VakifBank Inceleme yapilmis donmussunuz evet kendi talebiniz oldugu icin iade yapilamiyor..... na...,0.0
280,1576070319595.0,"@EkubanBurnu61 @futbolarena Avrasyaya takildin halkbank,vakifbank,thy,caykur v.s bunlar ne",1.0
281,1576070099985.0,RT @muratcinar: #Turchia: Trasferito il 58.51% delle azioni della banca statale #Vakifbank al Ministero del Tesoro. La terza banca statale...,1.0
282,1576069530686.0,@Avicenna_Razi Ziraat yada vakifbank yapiyo bildigim kadariyla tam bi rezalet djdjdjk yerin dibine giriyor insan,0.0
283,1576069376267.0,VakifBankin Hazineye devri gerceklesti | Gazete Manifesto,1.0
284,1576068295587.0,@kahraman_harun sayin harun hocam vakifbank hakkinda bir yorumun varmi bu banka hazineye devroldu simdi ust akil bu...,0.0
290,1576067299947.0,@filizgazioglu vakifbank degil ki hsdkgsjdklg,1.0
291,1576067154222.0,VakifBankin Hazineye devri gerceklesti,1.0
294,1576066375275.0,"RT @mikrofondakises: VAKIF EMEKLILIK ILE GELECEGE YOLCULUK (Road Show)

#mikrofondakises #oyuncu #sunucu #seslendirmen #mc #masterofceremon...",1.0
298,1576065577326.0,@OkanGecir Dunyanin hicbir liginde bizim kadar butceli takim bulamazsin ne alakasi var 2-3 ulke ile ne Italya ne Ci...,0.0
299,1576065287185.0,RT @t24comtr: Vakifbankin Hazineye devri bugun tamamlandi,1.0
300,1576065060902.0,"Milletin parasini @Trabzonspor a
Peskes mi cekiyonuz. 
@tcbestepe @HMBakanligi @VakifBank @Halkbank @ziraatbankasi...",1.0
301,1576064882827.0,Vakifbanktan Hazine ve Maliye Bakanligina hisse devri tamamlandi,1.0
302,1576064727084.0,"RT @ACHILEOUS: #Devbankanin #hissedevri tamamlandi
#vakifbank",1.0
303,1576064717425.0,"#Devbankanin #hissedevri tamamlandi
#vakifbank",1.0
304,1576064694035.0,RT @aktif_haber: Vakifbank hisselerinin Hazineye devri tamamlandi,1.0
305,1576064660422.0,"@baskanzorluoglu Loca almadan gidemezsiniz sayin baskan ayrica loca almadan vakifbank,halkbanktan ucak bileti paras...",1.0
311,1576062833491.0,Haberin devamini linkten syf. 6da okuyabilirsiniz.#vakifbank #AbdiSerdarUstunsalih...,1.0
312,1576062811614.0,"VakifBank Genel Muduru Abdi Serdar Ustunsalih, ''Turkiyeye olan destegimizi kesintisiz surduruyoruz. Musterilerimiz...",1.0
313,1576062774771.0,VakifBankin Hazineye hisse devrinin bugun itibariyla tamamlandigi aciklandi.,1.0
316,1576062190455.0,"RT @ahval_en: Turkish governments Vakifbank takeover raises alarm for other banks

 | Zulfikar Dogan  Ahval |",1.0
322,1575988803136.0,conegliano que seja esperto e ja ofereca 1 milhao para segurar ela,0.0
323,1575988435487.0,@ZiraatDestek Halk bank vakifbank bulundugumuz ilcede yok,0.0
324,1575987764407.0,RT @alex__0671: Elimde 200tl ecopayz var sl icin verelim eft saati gecmeden.Bankalarim ziraat vakifbank buyrun dm.#eco #ecopayz,1.0
325,1575987652545.0,so young,1.0
326,1575987562203.0,@snagzm Bildiriminiz ile ilgili detayli inceleme yapabilmemiz icin Twitter ZiraatDestek DM den ATM lokasyon bilgis...,1.0
327,1575986122015.0,"Yerli Uretim Tasit Kredisi Kampanyasinda Sona Tarih! 0,49 Faiz Oranli En Uygun Ziraat Bankasi, Halkbank Vakifbank T...",1.0
332,1575985953540.0,"@tarihinotlar34 @VakifBank Merhaba, basvurunuz hakkinda inceleme yapabilmemiz icin T.C. Kimlik numaraniz ile bilgil...",1.0
333,1575985684931.0,@VakifBank vakifbank uygulamasi calismiyor. 2 gundur faturalarimi odeyemiyorum,1.0
334,1575985431431.0,"RT @MelhordoVolei: MERCADO
Imprensa italiana afirma que o Vakifbank estaria preparando uma grande proposta para ter Paola Egonu na proxima...",1.0
335,1575985423797.0,"RT @Ert_okr_24: Bak kocum! Sen kisa pantolunla gezerken ben agababalarina racon kesiyorumdum.. 

#VakifBank
#Istanbul",1.0
336,1575985148813.0,Hala mevcut isteyen olursa veririm.Veremezsemde oynarim hahaha:):),0.0
338,1575984846020.0,"@_Math29 Olha , segundo a imprensa turca a Bella nao fica para a proxima temporada.",0.0
339,1575984802137.0,RT @elifcetineer: Cehennem simulator diye oyun yapcam VakifBank subesinde sira bekletcem ve islem suresini de sonsuz yapicam. Based on true...,1.0
340,1575984795540.0,LENDA FAZ ASSIM,1.0
342,1575984691302.0,"RT @VolleyElite: Tigil tigilan nyo ako vakifbank! 5 yrs contract ni haak sa inyo! Hahahaha

So ano na? Bartsch, gabi, zhu and egonu?!

Shut...",1.0
345,1575974417539.0,@VakifBank @VakifBankDestek Sizin 512 nolu sb izin muduru kapima gelip yalvariyodu cek karnesi verelim kredi karti...,0.0
346,1575974392623.0,"If VakifBank acquires both ZT and Paola for next club season, they sure are serious. Both multi-million contracts f...",1.0
349,1575974308900.0,@VakifBank Sizin 512 nolu sb izin muduru kapimiza gelip yalvariyodu cek karnesi verelim kredi karti verelim bes yap...,0.0
352,1575973905542.0,"RT @_mehmetatalay: ECZACIBASI VE VAKIFBANKIN BUYUK BASARISI, NIYE SES GETIRMEDI? Cindeki, Dunya Kulupler Sampiyonasinda daha once ustust...",1.0
353,1575973851276.0,@heyjaydreamerr @VolleyCenterPH GO VAKIFBANK INSTANBUL KULUBU,1.0
356,1575901904787.0,"RT @MuratAy11309487: 3 Araci kurumun (OYAKYatirim, turkishyatirim, sekerbank) vurdumduymazligi (!). (Yorumlari okuyun)@isbankasi @Akbank @Y...",1.0
357,1575901806079.0,"RT @Ordu_MEM: Il Milli Egitim Mudurumuz @kutlutekinbas,Altinordu Vakifbank Ilk/Ortaokulunu ziyaret ederek,idarecilerden yuruten calismalar...",1.0
358,1575901703442.0,@sefikdiyin @YapiKredi @Akbank @VakifBank arkadasa bi yardimci olun sevaptir.,1.0
359,1575901703156.0,@VakifBankDestek @VakifBank @Vakif_Emeklilik Verdiginiz cagri numarasi calismiyor iptal icin bekleyiniz diyor ve so...,0.0
360,1575901569323.0,"Il Milli Egitim Mudurumuz @kutlutekinbas,Altinordu Vakifbank Ilk/Ortaokulunu ziyaret ederek,idarecilerden yuruten...",1.0
363,1575900841494.0,"@underratedozzy @VakifBank Merhaba, basvurunuz hakkinda inceleme yapabilmemiz icin T.C. Kimlik numaraniz ile bilgil...",1.0
364,1575900799117.0,"@ceyhunerhan @VakifBank Merhaba, belirttiginiz konu hakkinda Vakif Emeklilik ile iletisime gecmeniz gerekmekte olup...",1.0
366,1575900770642.0,"Il Milli Egitim Mudurumuz @kutlutekinbas,Altinordu ilcesinde ikili egitimden tekli egitime gecis kapsaminda Sahinci...",1.0
602,1575876248487.0,"@Gamzckmak @VakifBank Merhaba, belirttiginiz konu hakkinda Vakif Emeklilik ile iletisime gecmeniz gerekmekte olup m...",1.0
603,1575876238352.0,"RT @sportstv: VakifBank dunya ucuncusu!

FIVB Kadinlar Dunya Kulupler Sampiyonasinda Italya temsilcisi Igor Gorgonzolayi 3-0 yenen temsil...",1.0
999,1575557592696.0,"RT @Code644: Velev ki satiliyor?
Bize danisilacak degil ya? Biz kimiz ki? Kimiz biz?! Kimiz ya biz?!",1.0
